Pose,Score
1,-0.3615358884473004
2,-0.3590221683438413
3,-0.3395179129937481
4,-0.3238569661866468
5,-0.3189605348428908
6,-0.29886129385809385
7,-0.2958144904239454
8,-0.26935287616119163
9,-0.263007903752613
