Pose,Score
1,-0.05029456067006904
2,-0.04404624071737624
3,-0.037934594936391806
4,-0.026838119656164686
5,-0.02459286464366719
6,-0.016384147268749188
7,-0.01471487112179204
8,-0.010201314111152358
9,-0.0007841314822110456
