Pose,Score
1,-0.6230260494017399
2,-0.5884511158504068
3,-0.3971042430965026
4,-0.3584977292025046
5,-0.35620350848041216
6,-0.3348135351064073
7,-0.2659455992918023
8,-0.2643077276362431
9,-0.2500864428614204
